Well_index;WellName;Latitude;Longtitude;GeoJson;FieldID;OperatorID;WellAlias;WellType;WellUWI
422;01-PEARL-1X (F);10.35;108.55;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.55,10.35]}}";P9;PCVL;01-F(Pearl)-1X;EXP;01-F-1X
423;01-RUBY-4X (B);10.36;108.49;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.49,10.36]}}";P10;PCVL;01-RB-4X;APP;01-B-4X
424;01-TOPAZ-1X (R);10.39;108.62;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.62,10.39]}}";P12;PCVL;01-TOPAZ-1X;EXP;01-R-1X
425;01-AGATE-1X;10.86;108.85;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.85,10.86]}}";P1;PCVL;01-AGATE-1X;EXP;01-E-1X
426;01-DIAMOND-1;10.55;108.49;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.49,10.55]}}";P6;PCVL;01-A-1X;EXP;01-A-1X
427;RONG-21;9.46;107.96;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.96,9.46]}}";P33;VSP;RONG-21;APP;09-1-RC02-21
428;RONG-108;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-108;PRO;09-1-RP01-108
429;RONG-109;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-109;PRO;09-1-RP01-109
43;09-2/09-KINHNGUTRANGNAM-3X;9.86;108.39;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.39,9.86]}}";P53;PVEP_POC;KTN-3X;APP;09-2/09-KTN-3X
430;BACHHO-MSP08-818;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-818;PRO;09-1-BH-818
431;RONG-14;9.46;107.96;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.96,9.46]}}";P33;VSP;RONG-14;APP;09-1-RC02-14
432;BACHHO-MSP09-918;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-918;PRO;09-1-BH-918
433;BACHHO-MSP08-95;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-95;PRO;09-1-BH-95
434;BACHHO-MSP05-508;9.82;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.82]}}";P227;VSP;MSP-5-508;PRO;09-1-BH-508
435;BACHHO-MSP-11-446;9.77;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.77]}}";P227;VSP;MSP-11-446;PRO;09-1-BH-446
436;BACHHO-MSP05-510;9.82;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.82]}}";P227;VSP;MSP-5-510;PRO;09-1-BH-510
437;BACHHO-MSP06-90;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-90;PRO;09-1-BH-90
438;BACHHO-BK06-442;9.74;107.98;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.98,9.74]}}";P227;VSP;BK6-442;PRO;09-1-BH-442
439;BACHHO-MSP-11-1106;9.77;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.77]}}";P227;VSP;MSP-11-1106;PRO;09-1-BH-1106
44;09-2/09-KINHNGUTRANGNAM-2X;9.86;108.39;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.39,9.86]}}";P53;PVEP_POC;KTN-2X;APP;09-2/09-KTN-2X
440;BACHHO-MSP-11-445;9.77;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.77]}}";P227;VSP;MSP-11-445;PRO;09-1-BH-445
441;BACHHO-MSP-10-1001;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-1001;PRO;09-1-BH-1001
442;BACHHO-BK05-455;9.74;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.74]}}";P227;VSP;BK5-455;INJ;09-1-BH-455
443;BACHHO-BK04-429;9.73;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.73]}}";P227;VSP;BK4-429;PRO;09-1-BH-429
444;BACHHO-BK06-431;9.74;107.98;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.98,9.74]}}";P227;VSP;BK6-431;PRO;09-1-BH-431
445;BACHHO-BK05-456;9.74;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.74]}}";P227;VSP;BK5-456;PRO;09-1-BH-456
446;BACHHO-BK04-424;9.73;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.73]}}";P227;VSP;BK4-424;INJ;09-1-BH-424
447;BACHHO-BK04-419;9.73;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.73]}}";P227;VSP;BK4-419;PRO;09-1-BH-419
448;BACHHO-BK03-413;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-413;PRO;09-1-BH-413
449;15-2-PHUONGDONG-1X;10.09;108.42;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.42,10.09]}}";P109;JVPC;15.2-PD-1X;EXP;15-2-PD-1X
45;02/97-THANGLONG-10XP;10.16;108.58;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.58,10.16]}}";P30;LAM_SON_JOC;TL-10XP;APP;02/97-TL-10XP
450;01-RUBY-2X (B);10.36;108.46;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.46,10.36]}}";P10;PCVL;01-RB-2;EXP;01-B-2X
451;01-RUBY-3X (B);10.41;108.52;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.52,10.41]}}";P10;PCVL;01-RB-3;APP;01-B-3X
452;01-EMERALD-1X (P);10.3;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.3]}}";P7;PCVL;01-EMERAL-1X;EXP;01-EM-1X
453;01-OPAL-1X (M);9.98;108.55;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.55,9.98]}}";P24;PCVL;02-OPAL-1X;EXP;01-M-1X
454;RONG-105;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-105;PRO;09-1-RP01-105
455;RONG-115;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-115;PRO;09-1-RP01-115
456;RONG-112;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-112;PRO;09-1-RP01-112
457;RONG-107;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-107;PRO;09-1-RP01-107
458;BACHHO-MSP08-811;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-811;PRO;09-1-BH-811
459;BACHHO-MSP09-910;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-910;PRO;09-1-BH-910
46;01-DIAMOND-5P;10.53;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.53]}}";P6;PCVL;DM-5P;PRO;01-DM-5P
460;BACHHO-MSP09-903;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-903;PRO;09-1-BH-903
461;BACHHO-MSP08-813;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-813;PRO;09-1-BH-813
462;BACHHO-MSP08-806;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-806;PRO;09-1-BH-806
463;BACHHO-MSP06-80;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-80;PRO;09-1-BH-80
464;BACHHO-MSP-10--109;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-109;PRO;09-1-BH--109
465;BACHHO-MSP06-81;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-81;PRO;09-1-BH-81
466;BACHHO-MSP-10-1004;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-1004;INJ;09-1-BH-1004
467;BACHHO-BK05-425;9.74;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.74]}}";P227;VSP;BK5-425;INJ;09-1-BH-425
468;BACHHO-MSP-10-1005;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-1005;PRO;09-1-BH-1005
469;BACHHO-BK05-433;9.74;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.74]}}";P227;VSP;BK5-433;PRO;09-1-BH-433
47;01-DIAMOND-4XP;10.53;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.53]}}";P6;PCVL;DM-4XP;PRO;01-DM-4XP
470;BACHHO-BK03-410;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-410;PRO;09-1-BH-410
471;BACHHO-BK04-415;9.73;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.73]}}";P227;VSP;BK4-415;PRO;09-1-BH-415
472;BACHHO-BK03-407;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-407;PRO;09-1-BH-407
473;BACHHO-7;9.66;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.66]}}";P227;VSP;BH-7;APP;09-1-BH-7
474;15-2-VUNGDONG-1X;10.09;107.97;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.97,10.09]}}";P111;JVPC;15.2-VD-1X;EXP;15-2-VD-1X
475;01-RUBY-1X;10.39;108.49;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.49,10.39]}}";P10;PCVL;01-RB-1X;EXP;01-RB-1X
476;15-2-RANGDONG-1X;9.99;108.28;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.28,9.99]}}";P110;JVPC;15.2-RD-1X;EXP;15-2-RD-1X
477;15-2-VUNGDONG-1XR;10.09;107.97;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.97,10.09]}}";P111;JVPC;15.2-VD-1XR;EXP;15-2-VD-1XR
478;RONG-116;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-116;PRO;09-1-RP01-116
479;RONG-106;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-106;PRO;09-1-RP01-106
48;01-DIAMOND-2P;10.53;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.53]}}";P6;PCVL;DM-2P;PRO;01-DM-2P
480;RONG-104;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-104;PRO;09-1-RP01-104
481;RONG-103;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-103;PRO;09-1-RP01-103
482;RONG-11;9.54;107.95;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.95,9.54]}}";P33;VSP;RONG-11;APP;09-1-R-11
483;RONG-102;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-102;PRO;09-1-RP01-102
484;RONG-101;9.55;107.83;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.83,9.55]}}";P33;VSP;RP-1-101;PRO;09-1-RP01-101
485;RONG-8;9.61;107.9;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.9,9.61]}}";P33;VSP;RONG-8;APP;09-1-R-8
486;BACHHO-MSP08-805;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-805;PRO;09-1-BH-805
487;BACHHO-MSP09-909;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-909;PRO;09-1-BH-909
488;BACHHO-MSP09-904;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-904;PRO;09-1-BH-904
489;BACHHO-MSP09-902;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-902;PRO;09-1-BH-902
49;01-DIAMOND-3P;10.53;108.48;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.48,10.53]}}";P6;PCVL;DM-3P;PRO;01-DM-3P
490;BACHHO-MSP08-804;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-804;PRO;09-1-BH-804
491;BACHHO-MSP05-506;9.82;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.82]}}";P227;VSP;MSP-5-506;INJ;09-1-BH-506
492;BACHHO-MSP-10-1008;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-1008;INJ;09-1-BH-1008
493;BACHHO-MSP-10-1014;9.8;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.8]}}";P227;VSP;MSP-10-1014;PRO;09-1-BH-1014
494;BACHHO-BK03-404;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-404;PRO;09-1-BH-404
495;BACHHO-BK03-430;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-430;PRO;09-1-BH-430
496;02-SAPPHIRE-1X(D);9.83;109.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[109.01,9.83]}}";P27;PCVL;02-D-1X;EXP;02-D-1X
497;02-JADE-1X(C);10.22;108.55;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.55,10.22]}}";P26;PCVL;02-C-1X;EXP;02-C-1X
498;BACHHO-MSP09-901;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-901;PRO;09-1-BH-901
499;RONG-7;9.57;107.9;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.9,9.57]}}";P33;VSP;RONG-7;APP;09-1-R-7
5;16-1-TEGIACTRANG-14XST2;9.88;107.92;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.92,9.88]}}";P130;HOANG_LONG_JOC;TGT-14XST2;APP;16-1-TGT-14XST2
50;02/97-DONGDO-9P;10.16;108.58;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.58,10.16]}}";P28;LAM_SON_JOC;DD-9P;PRO;02/97-DD-9P
500;BACHHO-MSP08-809;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-809;PRO;09-1-BH-809
501;BACHHO-MSP09-905;9.79;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.79]}}";P227;VSP;MSP-9-905;PRO;09-1-BH-905
502;BACHHO-MSP05-505;9.82;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.82]}}";P227;VSP;MSP-5-505;PRO;09-1-BH-505
503;BACHHO-MSP06-86;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-86;PRO;09-1-BH-86
504;BACHHO-MSP06-74;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-74;PRO;09-1-BH-74
505;BACHHO-MSP06-94;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-94;PRO;09-1-BH-94
506;BACHHO-MSP03-65;9.82;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.82]}}";P227;VSP;MSP-3-65;PRO;09-1-BH-65
507;BACHHO-MSP04-88;9.82;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.82]}}";P227;VSP;MSP-4-88;APP;09-1-BH-88
508;BACHHO-MSP03-66;9.82;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.82]}}";P227;VSP;MSP-3-66;PRO;09-1-BH-66
509;BACHHO-MSP05-504;9.82;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.82]}}";P227;VSP;MSP-5-504;PRO;09-1-BH-504
51;02/97-DONGDO-6P;10.12;108.56;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.56,10.12]}}";P28;LAM_SON_JOC;DD-6P;PRO;02/97-DD-6P
510;BACHHO-BK02-409;9.75;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.75]}}";P227;VSP;BK2-409;PRO;09-1-BH-409
511;BACHHO-BK03-411;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-411;PRO;09-1-BH-411
512;BACHHO-BK02-422;9.75;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.75]}}";P227;VSP;BK2-422;PRO;09-1-BH-422
513;BACHHO-BK02-420;9.75;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.75]}}";P227;VSP;BK2-420;PRO;09-1-BH-420
514;RONG-6;9.6;107.9;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.9,9.6]}}";P33;VSP;RONG-6;EXP;09-1-R-6
515;BACHHO-MSP08-802;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-802;PRO;09-1-BH-802
516;BACHHO-MSP08-803;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-803;PRO;09-1-BH-803
517;BACHHO-BK03-405;9.77;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.77]}}";P227;VSP;BK3-405;PRO;09-1-BH-405
518;BACHHO-MSP07-708;9.83;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.83]}}";P227;VSP;MSP-7-708;PRO;09-1-BH-708
519;BACHHO-MSP06-121;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-121;PRO;09-1-BH-121
52;02/97-DONGDO-3P;10.16;108.58;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.58,10.16]}}";P28;LAM_SON_JOC;DD-3P;PRO;02/97-DD-3P
520;BACHHO-MSP06-602;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-602;PRO;09-1-BH-602
521;BACHHO-MSP08-801;9.82;108.01;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.01,9.82]}}";P227;VSP;MSP-8-801;PRO;09-1-BH-801
522;BACHHO-MSP02-421;9.75;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.75]}}";P227;VSP;BK2-421;PRO;09-1-BH-421
523;BACHHO-MSP05-114;9.82;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.82]}}";P227;VSP;MSP-5-114;PRO;09-1-BH-114
524;BACHHO-MSP04-67;9.82;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.82]}}";P227;VSP;MSP-4-67;PRO;09-1-BH-67
525;BACHHO-MSP01-403;9.77;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.77]}}";P227;VSP;MSP-1-403;PRO;09-1-BH-403
526;17-CAM-1X;9.49;107.74;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.74,9.49]}}";P162;EOE;17-C-1X;EXP;17-C-1X
527;RONG-9;9.5;107.78;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.78,9.5]}}";P33;VSP;RONG-9;APP;09-1-R-9
528;17-NHO-1X;9.42;107.71;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.71,9.42]}}";P165;EOE;17-N-1X;EXP;17-N-1X
529;09-SOI-1X;9.52;108.03;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.03,9.52]}}";P57;VSP;09-SOI-1X;EXP;09-SOI-1X
53;09-2-CANGUVANG-7P;9.85;108.16;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.16,9.85]}}";P51;HOAN_VU_JOC;CNV-7P;PRO;09-2-CNV-7P
530;BACHHO-MSP03-193;9.82;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.82]}}";P227;VSP;MSP-3-193;PRO;09-1-BH-193
531;BACHHO-BK01-406;9.76;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.76]}}";P227;VSP;BK1-406;PRO;09-1-BH-406
532;BACHHO-BK01-416;9.76;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.76]}}";P227;VSP;BK1-416;PRO;09-1-BH-416
533;BACHHO-BK01-408;9.76;108.0;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108,9.76]}}";P227;VSP;BK1-408;PRO;09-1-BH-408
534;BACHHO-MSP06-62;9.83;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.83]}}";P227;VSP;MSP-6-62;PRO;09-1-BH-62
