"cr286_block_id","importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_2d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_blockid","owningbusinessunit"
"CL41","","R000075","","D2CL14","1","0","","","2389225","2affd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC3","","R000073","","D2MTC5","1","0","","","2389224","28ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC4","","R000074","","D2MTC5","1","0","","","2389223","29ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000076","","D2TCVM2","1","0","","","2389222","27ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS41","","R000071","","D2NCS19","1","0","","","2389221","26ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS41","","R000069","","D2NCS17","1","0","","","2389220","25ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS41","","R000070","","D2NCS18","1","0","","","2389219","24ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS29","","R000072","","D2NCS20","1","0","","","2389218","23ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK13","","R000065","","D2PK7","1","0","","","2389217","22ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK14","","R000067","","D2PK8","1","0","","","2389216","21ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK14","","R000066","","D2PK8","1","0","","","2389215","1fffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS41","","R000068","","D2NCS16","1","0","","","2389214","20ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK13","","R000064","","D2PK7","1","0","","","2389213","1effd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH6","","R000063","","D2SH8","1","0","","","2389212","1cffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH31","","R000062","","D2SH8","1","0","","","2389211","1dffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH6","","R000061","","D2SH7","1","0","","","2389210","1bffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH6","","R000059","","D2SH6","1","0","","","2389209","19ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH31","","R000058","","D2SH6","1","0","","","2389208","18ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH31","","R000060","","D2SH7","1","0","","","2389207","1affd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC28","","R000057","","D2MTC4","1","0","","","2389206","17ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK18","","R000054","","D2PK6","1","0","","","2389205","16ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK19","","R000055","","D2PK6","1","0","","","2389204","13ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK20","","R000056","","D2PK6","1","0","","","2389203","14ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK20","","R000053","","D2PK5","1","0","","","2389202","15ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK18","","R000051","","D2PK5","1","0","","","2389201","12ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK19","","R000052","","D2PK5","1","0","","","2389200","11ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK19","","R000049","","D2PK4","1","0","","","2389199","10ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK20","","R000050","","D2PK4","1","0","","","2389198","0fffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK20","","R000047","","D2PK3","1","0","","","2389197","0effd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK18","","R000048","","D2PK4","1","0","","","2389196","0bffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK19","","R000046","","D2PK3","1","0","","","2389195","0dffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK18","","R000045","","D2PK3","1","0","","","2389194","0cffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH35","","R000041","","D2SH4","1","0","","","2389193","08ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL48","","R000044","","D2CL13","1","0","","","2389192","09ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH35","","R000043","","D2SH5","1","0","","","2389191","0affd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH36","","R000042","","D2SH5","1","0","","","2389190","07ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS29","","R000037","","D2NCS12","1","0","","","2389189","05ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS29","","R000039","","D2NCS14","1","0","","","2389188","06ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS29","","R000040","","D2NCS15","1","0","","","2389187","04ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS29","","R000038","","D2NCS13","1","0","","","2389186","03ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"TCVM5","","R000034","","D2TCVM1","1","0","","","2389185","00ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"TCVM12","","R000033","","D2TCVM1","1","0","","","2389184","01ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL40","","R000036","","D2CL12","1","0","","","2389183","02ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL41","","R000035","","D2CL11","1","0","","","2389182","fffed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000029","","D2CL10","1","0","","","2389181","fbfed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000032","","D2SH3","1","0","","","2389180","fdfed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK15","","R000030","","D2PK2","1","0","","","2389179","fefed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK16","","R000031","","D2PK2","1","0","","","2389178","fcfed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS9","","R000028","","D2NCS11","1","0","","","2389177","f8fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS5","","R000026","","D2NCS9","1","0","","","2389176","fafed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS9","","R000027","","D2NCS10","1","0","","","2389175","f9fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS2","","R000025","","D2NCS8","1","0","","","2389174","f7fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC27","","R000023","","D2MTC3","1","0","","","2389173","f5fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PK3","","R000021","","D2PK1","1","0","","","2389172","f6fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS2","","R000024","","D2NCS7","1","0","","","2389171","f4fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH34","","R000022","","D2SH2","1","0","","","2389170","f3fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS18","","R000017","","D2NCS6","1","0","","","2389169","effed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS19","","R000018","","D2NCS6","1","0","","","2389168","f1fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC6","","R000020","","D2MTC2","1","0","","","2389167","f2fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"MTC20","","R000019","","D2MTC1","1","0","","","2389166","f0fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS40","","R000013","","D2NCS3","1","0","","","2389165","ebfed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS15","","R000016","","D2NCS5","1","0","","","2389164","eefed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS40","","R000014","","D2NCS4","1","0","","","2389163","ecfed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS14","","R000015","","D2NCS5","1","0","","","2389162","edfed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS40","","R000011","","D2NCS2","1","0","","","2389161","e7fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SH26","","R000012","","D2SH1","1","0","","","2389160","eafed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL12","","R000010","","D2CL9","1","0","","","2389159","e9fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL12","","R000009","","D2CL8","1","0","","","2389158","e8fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"NCS39","","R000008","","D2NCS1","1","0","","","2389157","e3fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL18","","R000006","","D2CL6","1","0","","","2389156","e6fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL24","","R000005","","D2CL5","1","0","","","2389155","e4fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL18","","R000007","","D2CL7","1","0","","","2389154","e5fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL29","","R000003","","D2CL3","1","0","","","2389153","e2fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL29","","R000002","","D2CL2","1","0","","","2389152","dffed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL24","","R000004","","D2CL4","1","0","","","2389151","e1fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CL43","","R000001","","D2CL1","1","0","","","2389150","e0fed6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
